Output format: module | schema name (class + field) | field offset
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_Vector2D | 0X000000
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_Vector | 0X000008
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_VectorAligned | 0X000020
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_Quaternion | 0X000030
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_QAngle | 0X000040
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_RotationVector | 0X00004C
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_RadianEuler | 0X000058
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_DegreeEuler | 0X000064
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_QuaternionStorage | 0X000070
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_matrix3x4_t | 0X000080
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_matrix3x4a_t | 0X0000B0
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_Color | 0X0000E0
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_Vector4D | 0X0000E4
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_CTransform | 0X000100
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_pKeyValues | 0X000120
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_CUtlBinaryBlock | 0X000128
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_CUtlString | 0X000140
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_CUtlSymbol | 0X000148
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_stringToken | 0X00014C
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_stringTokenWithStorage | 0X000150
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_ResourceTypes | 0X000168
Schema: schemasystem.dll | CSchemaSystemInternalRegistration->m_KV3 | 0X000170
Schema: schemasystem.dll | ResourceId_t->m_Value | 0X000000
Schema: schemasystem.dll | CExampleSchemaVData_Monomorphic->m_nExample1 | 0X000000
Schema: schemasystem.dll | CExampleSchemaVData_Monomorphic->m_nExample2 | 0X000004
Schema: schemasystem.dll | CExampleSchemaVData_PolymorphicBase->m_nBase | 0X000008
Schema: schemasystem.dll | CExampleSchemaVData_PolymorphicDerivedA->m_nDerivedA | 0X000010
Schema: schemasystem.dll | CExampleSchemaVData_PolymorphicDerivedB->m_nDerivedB | 0X000010
Schema: resourcesystem.dll | TestResource_t->m_name | 0X000000
Schema: resourcesystem.dll | ManifestTestResource_t->m_name | 0X000000
Schema: resourcesystem.dll | ManifestTestResource_t->m_child | 0X000008
Schema: resourcesystem.dll | FuseVariableIndex_t->m_Value | 0X000000
Schema: resourcesystem.dll | FuseFunctionIndex_t->m_Value | 0X000000
Schema: resourcesystem.dll | ConstantInfo_t->m_name | 0X000000
Schema: resourcesystem.dll | ConstantInfo_t->m_nameToken | 0X000008
Schema: resourcesystem.dll | ConstantInfo_t->m_flValue | 0X00000C
Schema: resourcesystem.dll | VariableInfo_t->m_name | 0X000000
Schema: resourcesystem.dll | VariableInfo_t->m_nameToken | 0X000008
Schema: resourcesystem.dll | VariableInfo_t->m_nIndex | 0X00000C
Schema: resourcesystem.dll | VariableInfo_t->m_nNumComponents | 0X00000E
Schema: resourcesystem.dll | VariableInfo_t->m_eVarType | 0X00000F
Schema: resourcesystem.dll | VariableInfo_t->m_eAccess | 0X000010
Schema: resourcesystem.dll | FunctionInfo_t->m_name | 0X000008
Schema: resourcesystem.dll | FunctionInfo_t->m_nameToken | 0X000010
Schema: resourcesystem.dll | FunctionInfo_t->m_nParamCount | 0X000014
Schema: resourcesystem.dll | FunctionInfo_t->m_nIndex | 0X000018
Schema: resourcesystem.dll | FunctionInfo_t->m_bIsPure | 0X00001A
Schema: resourcesystem.dll | CFuseProgram->m_programBuffer | 0X000000
Schema: resourcesystem.dll | CFuseProgram->m_variablesRead | 0X000018
Schema: resourcesystem.dll | CFuseProgram->m_variablesWritten | 0X000030
Schema: resourcesystem.dll | CFuseProgram->m_nMaxTempVarsUsed | 0X000048
Schema: resourcesystem.dll | CFuseSymbolTable->m_constants | 0X000008
Schema: resourcesystem.dll | CFuseSymbolTable->m_variables | 0X000028
Schema: resourcesystem.dll | CFuseSymbolTable->m_functions | 0X000048
Schema: resourcesystem.dll | AABB_t->m_vMinBounds | 0X000000
Schema: resourcesystem.dll | AABB_t->m_vMaxBounds | 0X00000C
Schema: resourcesystem.dll | PackedAABB_t->m_nPackedMin | 0X000000
Schema: resourcesystem.dll | PackedAABB_t->m_nPackedMax | 0X000004
Schema: resourcesystem.dll | FourQuaternions->x | 0X000000
